Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Major Iterations,Non Trivial Pivots,Total Pivots
cod103,0.00297,0.00045,0.00052,0.05115,0.13505,0.13557,0.19068,1,0,0
cod105,0.01190,0.00066,0.00045,0.25992,0.48053,0.48099,0.75478,1,330,330
cod733,0.00794,0.00045,0.00044,0.55631,1.41410,1.41454,1.98049,1,672,672
codbt161,0.00547,0.00033,0.00039,0.30057,0.49855,0.49893,0.80599,1,240,240
codbt162,0.02144,0.00074,0.00042,1.04181,1.88905,1.88947,2.95611,1,0,0
codbt163,0.04641,0.00162,0.00036,2.38150,3.82607,3.82643,6.26165,1,0,0
codbt164,0.07624,0.00247,0.00044,3.34952,4.49990,4.50034,7.94066,1,0,0
codbt171,0.01673,0.00071,0.00034,6.40209,11.62811,11.62846,18.05011,1,0,0
