Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00220,0.00018,0.00131,0.00155,0.20413,0.20544,0.20996,1024 (-1023),1024 (-1023)
cod105,0.00827,0.00060,0.00107,0.00275,0.23251,0.23357,0.24697,1024 (-1023),1024 (-1023)
cod733,0.00462,0.00034,0.00075,0.00167,1.54436,1.54510,1.55270,2187 (-2186),2187 (-2186)
cod83,0.00045,0.00006,0.00074,0.00030,0.00738,0.00812,0.00914,256 (-255),256 (-255)
cod93,0.00113,0.00014,0.00117,0.00066,0.01980,0.02097,0.02323,512 (-511),512 (-511)
codbt111,0.00004,0.00002,0.00084,0.00002,0.00030,0.00114,0.00135,6 (-5),6 (-5)
codbt112,0.00003,0.00001,0.00081,0.00002,0.00033,0.00114,0.00132,6 (-5),6 (-5)
codbt113,0.00002,0.00001,0.00087,0.00002,0.00028,0.00115,0.00132,6 (-5),6 (-5)
codbt114,0.00003,0.00001,0.00096,0.00002,0.00025,0.00121,0.00141,6 (-5),6 (-5)
codbt121,0.00004,0.00001,0.00093,0.00002,0.00036,0.00129,0.00152,18 (-17),18 (-17)
codbt122,0.00004,0.00002,0.00074,0.00002,0.00034,0.00108,0.00129,18 (-17),18 (-17)
codbt123,0.00006,0.00002,0.00091,0.00002,0.00038,0.00128,0.00149,18 (-17),18 (-17)
codbt124,0.00004,0.00001,0.00091,0.00002,0.00030,0.00121,0.00145,18 (-17),18 (-17)
codbt131,0.00008,0.00002,0.00075,0.00004,0.00075,0.00150,0.00180,54 (-53),54 (-53)
codbt132,0.00017,0.00004,0.00105,0.00005,0.00115,0.00220,0.00265,54 (-53),54 (-53)
codbt133,0.00015,0.00003,0.00091,0.00005,0.00105,0.00196,0.00238,54 (-53),54 (-53)
codbt134,0.00009,0.00003,0.00077,0.00004,0.00079,0.00157,0.00186,54 (-53),54 (-53)
codbt141,0.00036,0.00005,0.00088,0.00025,0.00397,0.00485,0.00568,162 (-161),162 (-161)
codbt142,0.00068,0.00005,0.00085,0.00019,0.00603,0.00687,0.00799,162 (-161),162 (-161)
codbt143,0.00103,0.00006,0.00085,0.00025,0.00666,0.00751,0.00916,162 (-161),162 (-161)
codbt144,0.00109,0.00007,0.00080,0.00027,0.00944,0.01024,0.01195,162 (-161),162 (-161)
codbt151,0.00112,0.00010,0.00092,0.00059,0.04064,0.04156,0.04363,486 (-485),486 (-485)
codbt152,0.00346,0.00018,0.00104,0.00094,0.07677,0.07781,0.08305,486 (-485),486 (-485)
codbt153,0.00650,0.00031,0.00088,0.00149,0.11700,0.11788,0.12752,486 (-485),486 (-485)
codbt154,0.00837,0.00033,0.00090,0.00180,0.17036,0.17126,0.18321,486 (-485),486 (-485)
codbt161,0.00316,0.00022,0.00077,0.00146,0.62925,0.63002,0.63550,1458 (-1457),1458 (-1457)
codbt162,0.01550,0.00058,0.00077,0.00358,1.80811,1.80888,1.83094,1458 (-1457),1458 (-1457)
codbt163,0.03891,0.00116,0.00069,0.00737,2.88847,2.88916,2.94235,1458 (-1457),1458 (-1457)
