Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cov151210,0.00584,0.00035,0.00043,0.00488,0.03238,0.03281,0.04529,455 (-454),3003 (-3002)
cov151211,0.00131,0.00012,0.00034,0.00257,0.00987,0.01021,0.01481,455 (-454),1365 (-1364)
cov15129,0.01646,0.00089,0.00059,0.00792,0.08367,0.08426,0.11386,455 (-454),5005 (-5004)
cov161110,0.01229,0.00096,0.00045,0.01176,1.73385,1.73430,1.76177,4368 (-4367),8008 (-8007)
cov16118,0.11292,0.00306,0.00049,0.03160,32.29746,32.29795,32.46172,4368 (-4367),12870 (-12869)
cov16119,0.04617,0.00275,0.00051,0.02191,14.60813,14.60864,14.68822,4368 (-4367),11440 (-11439)
cov161210,0.02495,0.00117,0.00054,0.01299,1.03277,1.03331,1.07722,1820 (-1819),8008 (-8007)
cov161211,0.00583,0.00050,0.00049,0.00843,0.20128,0.20177,0.21893,1820 (-1819),4368 (-4367)
cov16129,0.07541,0.00228,0.00052,0.02316,2.48476,2.48527,2.59688,1820 (-1819),11440 (-11439)
cov161310,0.02654,0.00094,0.00036,0.01311,0.12379,0.12415,0.16978,560 (-559),8008 (-8007)
cov161311,0.00914,0.00054,0.00043,0.00763,0.05122,0.05165,0.07110,560 (-559),4368 (-4367)
cov161312,0.00188,0.00017,0.00042,0.00314,0.01455,0.01497,0.02082,560 (-559),1820 (-1819)
cov171210,0.07618,0.00270,0.00050,0.03316,38.54677,38.54727,38.67007,6188 (-6187),19448 (-19447)
cov171211,0.02019,0.00203,0.00043,0.02059,3.58615,3.58658,3.63434,6188 (-6187),12376 (-12375)
cov17129,0.21795,0.00492,0.00053,0.05362,227.39357,227.39410,227.69871,6188 (-6187),24310 (-24309)
cov171310,0.11049,0.00327,0.00040,0.03807,6.07017,6.07057,6.23858,2380 (-2379),19448 (-19447)
cov171311,0.03363,0.00129,0.00041,0.02065,1.94360,1.94401,2.00728,2380 (-2379),12376 (-12375)
cov171312,0.00943,0.00076,0.00043,0.01123,0.24263,0.24307,0.26673,2380 (-2379),6188 (-6187)
cov171411,0.05152,0.00206,0.00055,0.02632,0.25783,0.25838,0.34807,680 (-679),12376 (-12375)
cov171412,0.01370,0.00076,0.00050,0.01255,0.09152,0.09202,0.12236,680 (-679),6188 (-6187)
cov171413,0.00244,0.00022,0.00042,0.00579,0.02091,0.02133,0.03086,680 (-679),2380 (-2379)
sts243,0.00288,0.00070,0.00044,0.00299,0.01612,0.01656,0.02460,243 (-242),9801 (-9800)
sts45,0.00013,0.00004,0.00033,0.00014,0.00121,0.00154,0.00202,45 (-44),330 (-329)
sts63,0.00033,0.00007,0.00032,0.00037,0.00277,0.00308,0.00414,63 (-62),651 (-650)
sts729,0.02775,0.00617,0.00070,0.02866,0.27799,0.27869,0.35253,729 (-728),88452 (-88451)
sts81,0.00038,0.00012,0.00046,0.00043,0.00246,0.00292,0.00416,81 (-80),1080 (-1079)
