Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00303,0.00019,0.00143,0.00270,0.23111,0.23254,0.23917,1024 (-1023),1024 (-1023)
cod105,0.01210,0.00056,0.00117,0.00540,0.42990,0.43107,0.45129,1024 (-1023),1024 (-1023)
cod733,0.00794,0.00044,0.00096,0.00235,1.60823,1.60919,1.62134,2187 (-2186),2187 (-2186)
cod83,0.00060,0.00006,0.00140,0.00077,0.01047,0.01187,0.01350,256 (-255),256 (-255)
cod93,0.00117,0.00009,0.00116,0.00163,0.02514,0.02629,0.02950,512 (-511),512 (-511)
codbt111,0.00006,0.00002,0.00150,0.00003,0.00068,0.00217,0.00257,6 (-5),6 (-5)
codbt112,0.00002,0.00001,0.00103,0.00008,0.00038,0.00140,0.00157,6 (-5),6 (-5)
codbt113,0.00003,0.00002,0.00089,0.00003,0.00078,0.00167,0.00201,6 (-5),6 (-5)
codbt114,0.00002,0.00002,0.00079,0.00003,0.00048,0.00127,0.00145,6 (-5),6 (-5)
codbt121,0.00006,0.00003,0.00162,0.00003,0.00101,0.00263,0.00314,18 (-17),18 (-17)
codbt122,0.00005,0.00002,0.00089,0.00002,0.00059,0.00148,0.00174,18 (-17),18 (-17)
codbt123,0.00004,0.00002,0.00138,0.00004,0.00055,0.00194,0.00218,18 (-17),18 (-17)
codbt124,0.00003,0.00002,0.00072,0.00003,0.00049,0.00121,0.00140,18 (-17),18 (-17)
codbt131,0.00013,0.00003,0.00133,0.00010,0.00132,0.00265,0.00307,54 (-53),54 (-53)
codbt132,0.00015,0.00003,0.00075,0.00012,0.00154,0.00229,0.00273,54 (-53),54 (-53)
codbt133,0.00018,0.00003,0.00123,0.00014,0.00139,0.00262,0.00316,54 (-53),54 (-53)
codbt134,0.00014,0.00004,0.00127,0.00016,0.00129,0.00256,0.00304,54 (-53),54 (-53)
codbt141,0.00034,0.00006,0.00113,0.00029,0.00449,0.00563,0.00655,162 (-161),162 (-161)
codbt142,0.00129,0.00006,0.00136,0.00056,0.00691,0.00827,0.01045,162 (-161),162 (-161)
codbt143,0.00117,0.00007,0.00101,0.00040,0.00761,0.00861,0.01051,162 (-161),162 (-161)
codbt144,0.00156,0.00009,0.00086,0.00073,0.01046,0.01132,0.01408,162 (-161),162 (-161)
codbt151,0.00111,0.00010,0.00095,0.00081,0.04195,0.04290,0.04529,486 (-485),486 (-485)
codbt152,0.00459,0.00019,0.00096,0.00137,0.08600,0.08696,0.09388,486 (-485),486 (-485)
codbt153,0.00943,0.00047,0.00126,0.00260,0.13679,0.13805,0.15238,486 (-485),486 (-485)
codbt154,0.01122,0.00046,0.00110,0.00187,0.18450,0.18560,0.20090,486 (-485),486 (-485)
codbt161,0.00503,0.00027,0.00088,0.00190,1.00108,1.00196,1.01012,1458 (-1457),1458 (-1457)
codbt162,0.01662,0.00076,0.00177,0.00440,2.06187,2.06364,2.08925,1458 (-1457),1458 (-1457)
codbt163,0.05054,0.00149,0.00110,0.00889,3.04226,3.04336,3.11225,1458 (-1457),1458 (-1457)
codbt164,0.07288,0.00233,0.00137,0.01220,3.76362,3.76499,3.86332,1458 (-1457),1458 (-1457)
codbt171,0.01625,0.00083,0.00093,0.00672,35.32291,35.32383,35.35005,4374 (-4373),4374 (-4373)
codbt172,0.07017,0.00168,0.00129,0.01476,147.51144,147.51273,147.60908,4374 (-4373),4374 (-4373)
codbt173,0.23184,0.00485,0.00120,0.03797,99.14881,99.15001,99.45591,4374 (-4373),4374 (-4373)
codbt174,0.50868,0.00997,0.00244,0.07890,107.76169,107.76412,108.43069,4374 (-4373),4374 (-4373)
codbt211,0.00007,0.00003,0.00117,0.00003,0.00064,0.00181,0.00206,12 (-11),12 (-11)
codbt212,0.00008,0.00007,0.00112,0.00005,0.00051,0.00164,0.00192,12 (-11),12 (-11)
codbt221,0.00014,0.00002,0.00069,0.00003,0.00075,0.00144,0.00171,36 (-35),36 (-35)
codbt222,0.00015,0.00003,0.00117,0.00019,0.00105,0.00222,0.00274,36 (-35),36 (-35)
codbt231,0.00020,0.00004,0.00066,0.00020,0.00242,0.00309,0.00370,108 (-107),108 (-107)
codbt232,0.00046,0.00004,0.00100,0.00028,0.00425,0.00524,0.00619,108 (-107),108 (-107)
codbt241,0.00076,0.00009,0.00112,0.00056,0.01329,0.01442,0.01610,324 (-323),324 (-323)
codbt242,0.00212,0.00013,0.00094,0.00094,0.03817,0.03911,0.04302,324 (-323),324 (-323)
codbt251,0.00457,0.00031,0.00186,0.00304,0.18186,0.18372,0.19233,972 (-971),972 (-971)
codbt252,0.01173,0.00068,0.00164,0.00257,0.53896,0.54060,0.55753,972 (-971),972 (-971)
codbt261,0.01185,0.00055,0.00082,0.00519,6.11277,6.11359,6.13314,2916 (-2915),2916 (-2915)
codbt262,0.05746,0.00236,0.00117,0.01283,50.31885,50.32002,50.40006,2916 (-2915),2916 (-2915)
codbt341,0.00231,0.00018,0.00197,0.00337,0.08947,0.09144,0.09790,648 (-647),648 (-647)
