Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
codbt722,0.00909,0.00046,0.00098,0.00245,0.70979,0.71077,0.72423,1152 (-1151),1152 (-1151)
codbt731,0.00913,0.00054,0.00094,0.00529,11.53028,11.53122,11.54801,3456 (-3455),3456 (-3455)
codbt732,0.03998,0.00111,0.00096,0.00880,21.29263,21.29359,21.34915,3456 (-3455),3456 (-3455)
codbt811,0.00176,0.00014,0.00100,0.00146,0.06282,0.06382,0.06768,768 (-767),768 (-767)
codbt812,0.00455,0.00020,0.00077,0.00174,0.22015,0.22092,0.22829,768 (-767),768 (-767)
codbt821,0.00551,0.00036,0.00076,0.00312,4.66263,4.66339,4.67344,2304 (-2303),2304 (-2303)
codbt822,0.02234,0.00071,0.00068,0.00509,5.18502,5.18570,5.21698,2304 (-2303),2304 (-2303)
codbt831,0.02165,0.00111,0.00078,0.00972,143.79179,143.79257,143.82831,6912 (-6911),6912 (-6911)
codbt832,0.09616,0.00198,0.00074,0.01857,222.23465,222.23539,222.36393,6912 (-6911),6912 (-6911)
cov1052,0.00035,0.00007,0.00078,0.00027,0.00212,0.00290,0.00381,252 (-251),45 (-44)
cov1053,0.00048,0.00005,0.00075,0.00031,0.00456,0.00531,0.00633,252 (-251),120 (-119)
cov1054,0.00031,0.00004,0.00097,0.00029,0.00530,0.00626,0.00706,252 (-251),210 (-209)
cov1063,0.00058,0.00005,0.00100,0.00034,0.00519,0.00618,0.00739,210 (-209),120 (-119)
cov1064,0.00055,0.00006,0.00102,0.00037,0.00563,0.00665,0.00781,210 (-209),210 (-209)
cov1065,0.00026,0.00005,0.00099,0.00027,0.00414,0.00513,0.00594,210 (-209),252 (-251)
cov1074,0.00067,0.00006,0.00077,0.00037,0.00417,0.00494,0.00629,120 (-119),210 (-209)
cov1075,0.00037,0.00004,0.00081,0.00035,0.00320,0.00401,0.00505,120 (-119),252 (-251)
cov1076,0.00021,0.00004,0.00091,0.00030,0.00222,0.00313,0.00388,120 (-119),210 (-209)
cov1163,0.00122,0.00007,0.00064,0.00061,0.01075,0.01138,0.01368,462 (-461),165 (-164)
cov1164,0.00099,0.00008,0.00073,0.00061,0.03063,0.03137,0.03334,462 (-461),330 (-329)
cov1165,0.00065,0.00008,0.00088,0.00055,0.01530,0.01618,0.01770,462 (-461),462 (-461)
cov1174,0.00140,0.00008,0.00093,0.00063,0.01820,0.01914,0.02180,330 (-329),330 (-329)
cov1175,0.00096,0.00008,0.00078,0.00050,0.01471,0.01549,0.01725,330 (-329),462 (-461)
cov1176,0.00040,0.00007,0.00082,0.00029,0.00817,0.00899,0.00993,330 (-329),462 (-461)
cov1185,0.00117,0.00007,0.00095,0.00070,0.00699,0.00794,0.01023,165 (-164),462 (-461)
cov1186,0.00070,0.00006,0.00094,0.00055,0.00476,0.00569,0.00725,165 (-164),462 (-461)
cov1187,0.00034,0.00005,0.00085,0.00050,0.00280,0.00365,0.00479,165 (-164),330 (-329)
cov1274,0.00436,0.00021,0.00088,0.00144,0.11041,0.11129,0.11819,792 (-791),495 (-494)
cov1275,0.00266,0.00015,0.00100,0.00115,0.18581,0.18682,0.19135,792 (-791),792 (-791)
cov1276,0.00126,0.00014,0.00107,0.00107,0.04865,0.04972,0.05252,792 (-791),924 (-923)
cov1285,0.00344,0.00018,0.00101,0.00130,0.05633,0.05734,0.06301,495 (-494),792 (-791)
cov1286,0.00196,0.00014,0.00086,0.00130,0.03204,0.03290,0.03690,495 (-494),924 (-923)
cov1287,0.00078,0.00010,0.00075,0.00088,0.01048,0.01123,0.01331,495 (-494),792 (-791)
cov1296,0.00237,0.00012,0.00100,0.00123,0.01259,0.01360,0.01793,220 (-219),924 (-923)
cov1297,0.00117,0.00009,0.00093,0.00087,0.00694,0.00787,0.01038,220 (-219),792 (-791)
cov1298,0.00038,0.00006,0.00068,0.00063,0.00327,0.00395,0.00524,220 (-219),495 (-494)
cov13107,0.00581,0.00025,0.00103,0.00221,0.02393,0.02496,0.03458,286 (-285),1716 (-1715)
cov13108,0.00240,0.00015,0.00101,0.00142,0.01215,0.01316,0.01781,286 (-285),1287 (-1286)
cov13109,0.00063,0.00008,0.00089,0.00083,0.00447,0.00536,0.00720,286 (-285),715 (-714)
cov1385,0.00935,0.00035,0.00083,0.00328,0.62912,0.62995,0.64455,1287 (-1286),1287 (-1286)
cov1386,0.00627,0.00032,0.00085,0.00271,0.62945,0.63029,0.64085,1287 (-1286),1716 (-1715)
cov1387,0.00274,0.00032,0.00122,0.00269,0.12757,0.12880,0.13535,1287 (-1286),1716 (-1715)
cov1396,0.01001,0.00049,0.00123,0.00324,0.20758,0.20881,0.22441,715 (-714),1716 (-1715)
cov1397,0.00560,0.00044,0.00138,0.00287,0.10659,0.10797,0.11797,715 (-714),1716 (-1715)
cov1398,0.00130,0.00013,0.00089,0.00135,0.02444,0.02532,0.02859,715 (-714),1287 (-1286)
cov14107,0.01742,0.00077,0.00091,0.00542,0.44039,0.44131,0.46780,1001 (-1000),3432 (-3431)
cov14108,0.00649,0.00038,0.00100,0.00332,0.27299,0.27398,0.28557,1001 (-1000),3003 (-3002)
cov14109,0.00220,0.00023,0.00087,0.00208,0.03804,0.03891,0.04406,1001 (-1000),2002 (-2001)
cov141110,0.00083,0.00010,0.00081,0.00108,0.00519,0.00601,0.00834,364 (-363),1001 (-1000)
cov14118,0.00847,0.00045,0.00101,0.00370,0.04044,0.04146,0.05599,364 (-363),3003 (-3002)
cov14119,0.00313,0.00018,0.00080,0.00190,0.01752,0.01832,0.02437,364 (-363),2002 (-2001)
cov1496,0.02678,0.00078,0.00084,0.00821,4.21698,4.21783,4.25788,2002 (-2001),3003 (-3002)
cov1497,0.01140,0.00052,0.00101,0.00522,1.58454,1.58555,1.60474,2002 (-2001),3432 (-3431)
cov1498,0.00355,0.00030,0.00097,0.00329,0.31306,0.31403,0.32214,2002 (-2001),3003 (-3002)
cov15107,0.04962,0.00144,0.00061,0.01041,13.90866,13.90928,13.97734,3003 (-3002),6435 (-6434)
cov15108,0.02259,0.00101,0.00074,0.00925,7.85108,7.85181,7.88856,3003 (-3002),6435 (-6434)
cov15109,0.00628,0.00051,0.00070,0.00588,0.86532,0.86602,0.88019,3003 (-3002),5005 (-5004)
cov151110,0.00346,0.00031,0.00090,0.00325,0.04905,0.04995,0.05784,1365 (-1364),3003 (-3002)
cov15118,0.03330,0.00121,0.00068,0.01035,1.15092,1.15160,1.20173,1365 (-1364),6435 (-6434)
cov15119,0.01130,0.00061,0.00093,0.00558,0.45605,0.45698,0.47674,1365 (-1364),5005 (-5004)
cov151210,0.00525,0.00037,0.00088,0.00287,0.02558,0.02646,0.03613,455 (-454),3003 (-3002)
cov151211,0.00135,0.00014,0.00097,0.00152,0.00679,0.00777,0.01124,455 (-454),1365 (-1364)
cov15129,0.01374,0.00066,0.00073,0.00620,0.07334,0.07407,0.09756,455 (-454),5005 (-5004)
cov161110,0.01040,0.00079,0.00078,0.00960,2.04470,2.04549,2.06856,4368 (-4367),8008 (-8007)
cov16118,0.11037,0.00291,0.00082,0.02591,29.87213,29.87295,30.02701,4368 (-4367),12870 (-12869)
cov16119,0.04216,0.00161,0.00089,0.01749,14.15191,14.15279,14.22038,4368 (-4367),11440 (-11439)
cov161210,0.01877,0.00093,0.00065,0.00931,0.59947,0.60011,0.63289,1820 (-1819),8008 (-8007)
cov161211,0.00433,0.00039,0.00097,0.00495,0.14619,0.14716,0.15812,1820 (-1819),4368 (-4367)
cov16129,0.07540,0.00235,0.00110,0.01903,2.60008,2.60118,2.70869,1820 (-1819),11440 (-11439)
cov161310,0.02290,0.00085,0.00088,0.01079,0.11364,0.11452,0.15358,560 (-559),8008 (-8007)
cov161311,0.00713,0.00040,0.00080,0.00496,0.04293,0.04373,0.05789,560 (-559),4368 (-4367)
cov161312,0.00158,0.00014,0.00075,0.00207,0.00982,0.01057,0.01487,560 (-559),1820 (-1819)
cov171210,0.07343,0.00232,0.00071,0.02686,37.23332,37.23404,37.34749,6188 (-6187),19448 (-19447)
cov171211,0.01683,0.00138,0.00091,0.01412,3.32818,3.32909,3.36486,6188 (-6187),12376 (-12375)
cov17129,0.21012,0.00637,0.00106,0.04687,264.74675,264.74782,265.04075,6188 (-6187),24310 (-24309)
cov171310,0.10970,0.00249,0.00063,0.03306,6.97672,6.97734,7.13696,2380 (-2379),19448 (-19447)
cov171311,0.03131,0.00120,0.00059,0.01519,1.77549,1.77608,1.82929,2380 (-2379),12376 (-12375)
cov171312,0.00760,0.00059,0.00085,0.00742,0.20620,0.20705,0.22465,2380 (-2379),6188 (-6187)
cov171411,0.03729,0.00145,0.00082,0.01675,0.19432,0.19514,0.25804,680 (-679),12376 (-12375)
cov171412,0.00972,0.00054,0.00097,0.00682,0.05974,0.06071,0.08012,680 (-679),6188 (-6187)
cov171413,0.00195,0.00021,0.00094,0.00263,0.01242,0.01337,0.01880,680 (-679),2380 (-2379)
sts243,0.00277,0.00059,0.00091,0.00254,0.01371,0.01463,0.02175,243 (-242),9801 (-9800)
sts45,0.00017,0.00004,0.00067,0.00012,0.00088,0.00156,0.00205,45 (-44),330 (-329)
sts63,0.00029,0.00008,0.00065,0.00023,0.00150,0.00215,0.00298,63 (-62),651 (-650)
sts729,0.02144,0.00416,0.00100,0.02563,0.27923,0.28024,0.34169,729 (-728),88452 (-88451)
sts81,0.00033,0.00008,0.00083,0.00026,0.00150,0.00232,0.00327,81 (-80),1080 (-1079)
