Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions),Columns Reduced (%),Rows Reduced (%)
cov1387,0.00,0.00,0.00,0.00,0.15,0.15,0.16,1287 (-1286),1716 (-1715),1.00,1.00
cov1396,0.01,0.00,0.00,0.00,0.26,0.26,0.28,715 (-714),1716 (-1715),1.00,1.00
cov1397,0.01,0.00,0.00,0.00,0.11,0.11,0.12,715 (-714),1716 (-1715),1.00,1.00
cov1398,0.00,0.00,0.00,0.00,0.04,0.04,0.05,715 (-714),1287 (-1286),1.00,1.00
cov14107,0.02,0.00,0.00,0.01,0.51,0.51,0.55,1001 (-1000),3432 (-3431),1.00,1.00
cov14108,0.01,0.00,0.00,0.00,0.37,0.37,0.38,1001 (-1000),3003 (-3002),1.00,1.00
cov14109,0.00,0.00,0.00,0.00,0.06,0.06,0.06,1001 (-1000),2002 (-2001),1.00,1.00
cov141110,0.00,0.00,0.00,0.00,0.01,0.02,0.02,364 (-363),1001 (-1000),1.00,1.00
cov14118,0.01,0.00,0.00,0.01,0.06,0.06,0.09,364 (-363),3003 (-3002),1.00,1.00
cov14119,0.00,0.00,0.00,0.00,0.03,0.03,0.04,364 (-363),2002 (-2001),1.00,1.00
cov1496,0.03,0.00,0.00,0.01,4.91,4.91,4.96,2002 (-2001),3003 (-3002),1.00,1.00
cov1497,0.02,0.00,0.00,0.01,1.79,1.79,1.82,2002 (-2001),3432 (-3431),1.00,1.00
cov1498,0.01,0.00,0.00,0.01,0.39,0.39,0.40,2002 (-2001),3003 (-3002),1.00,1.00
cov15107,0.07,0.00,0.00,0.02,21.90,21.90,22.01,3003 (-3002),6435 (-6434),1.00,1.00
cov15108,0.03,0.00,0.00,0.01,9.03,9.03,9.09,3003 (-3002),6435 (-6434),1.00,1.00
cov15109,0.01,0.00,0.00,0.01,0.98,0.98,1.01,3003 (-3002),5005 (-5004),1.00,1.00
cov151110,0.00,0.00,0.00,0.00,0.07,0.07,0.08,1365 (-1364),3003 (-3002),1.00,1.00
cov15118,0.05,0.00,0.00,0.02,1.45,1.45,1.53,1365 (-1364),6435 (-6434),1.00,1.00
cov15119,0.02,0.00,0.00,0.01,0.55,0.55,0.58,1365 (-1364),5005 (-5004),1.00,1.00
cov151210,0.01,0.00,0.00,0.00,0.05,0.05,0.06,455 (-454),3003 (-3002),1.00,1.00
cov151211,0.00,0.00,0.00,0.00,0.01,0.02,0.02,455 (-454),1365 (-1364),1.00,1.00
