Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00260,0.00019,0.00072,0.00089,0.28418,0.28490,0.28910,1024 (-1023),1024 (-1023)
cod105,0.00865,0.00041,0.00092,0.00124,0.27408,0.27500,0.28659,1024 (-1023),1024 (-1023)
cod733,0.00555,0.00040,0.00081,0.00177,1.32753,1.32835,1.33703,2187 (-2186),2187 (-2186)
cod83,0.00044,0.00005,0.00097,0.00016,0.01025,0.01122,0.01205,256 (-255),256 (-255)
cod93,0.00120,0.00009,0.00111,0.00036,0.03435,0.03546,0.03741,512 (-511),512 (-511)
codbt111,0.00005,0.00002,0.00092,0.00002,0.00031,0.00123,0.00142,6 (-5),6 (-5)
codbt112,0.00003,0.00001,0.00074,0.00002,0.00024,0.00098,0.00117,6 (-5),6 (-5)
codbt113,0.00002,0.00001,0.00063,0.00002,0.00026,0.00089,0.00105,6 (-5),6 (-5)
codbt114,0.00002,0.00001,0.00079,0.00002,0.00032,0.00111,0.00135,6 (-5),6 (-5)
codbt121,0.00005,0.00002,0.00123,0.00003,0.00045,0.00169,0.00195,18 (-17),18 (-17)
codbt122,0.00005,0.00002,0.00088,0.00003,0.00044,0.00132,0.00148,18 (-17),18 (-17)
codbt123,0.00004,0.00002,0.00076,0.00003,0.00036,0.00112,0.00131,18 (-17),18 (-17)
codbt124,0.00002,0.00003,0.00068,0.00002,0.00030,0.00098,0.00113,18 (-17),18 (-17)
codbt131,0.00011,0.00002,0.00112,0.00005,0.00098,0.00210,0.00249,54 (-53),54 (-53)
codbt132,0.00013,0.00002,0.00066,0.00004,0.00117,0.00183,0.00215,54 (-53),54 (-53)
codbt133,0.00021,0.00003,0.00108,0.00007,0.00186,0.00294,0.00334,54 (-53),54 (-53)
codbt134,0.00012,0.00003,0.00111,0.00007,0.00110,0.00221,0.00260,54 (-53),54 (-53)
codbt141,0.00029,0.00005,0.00074,0.00012,0.00364,0.00438,0.00511,162 (-161),162 (-161)
codbt142,0.00071,0.00006,0.00089,0.00014,0.00785,0.00874,0.00984,162 (-161),162 (-161)
codbt143,0.00141,0.00006,0.00104,0.00021,0.01120,0.01224,0.01419,162 (-161),162 (-161)
codbt144,0.00135,0.00008,0.00097,0.00022,0.00986,0.01084,0.01273,162 (-161),162 (-161)
codbt151,0.00103,0.00008,0.00062,0.00032,0.04019,0.04081,0.04245,486 (-485),486 (-485)
codbt152,0.00426,0.00021,0.00099,0.00057,0.08006,0.08105,0.08675,486 (-485),486 (-485)
codbt153,0.00799,0.00041,0.00104,0.00075,0.16693,0.16797,0.17825,486 (-485),486 (-485)
codbt154,0.00895,0.00036,0.00140,0.00086,0.21570,0.21710,0.22864,486 (-485),486 (-485)
codbt161,0.00374,0.00026,0.00115,0.00131,0.79532,0.79647,0.80251,1458 (-1457),1458 (-1457)
codbt162,0.01468,0.00070,0.00111,0.00233,2.09856,2.09967,2.11940,1458 (-1457),1458 (-1457)
codbt163,0.03952,0.00100,0.00069,0.00427,3.54688,3.54757,3.59739,1458 (-1457),1458 (-1457)
codbt164,0.06776,0.00251,0.00072,0.00849,3.81042,3.81114,3.89933,1458 (-1457),1458 (-1457)
codbt171,0.01270,0.00081,0.00080,0.00619,28.74929,28.75009,28.77197,4374 (-4373),4374 (-4373)
codbt172,0.06053,0.00175,0.00081,0.01127,205.69312,205.69393,205.77639,4374 (-4373),4374 (-4373)
codbt173,0.20235,0.00480,0.00092,0.03126,77.16721,77.16813,77.43222,4374 (-4373),4374 (-4373)
codbt174,0.46352,0.01427,0.00089,0.06790,96.95096,96.95184,97.55650,4374 (-4373),4374 (-4373)
codbt211,0.00004,0.00002,0.00079,0.00004,0.00039,0.00119,0.00138,12 (-11),12 (-11)
codbt212,0.00004,0.00001,0.00089,0.00003,0.00035,0.00124,0.00146,12 (-11),12 (-11)
codbt221,0.00009,0.00002,0.00113,0.00007,0.00065,0.00178,0.00206,36 (-35),36 (-35)
codbt222,0.00010,0.00002,0.00061,0.00003,0.00056,0.00117,0.00151,36 (-35),36 (-35)
codbt231,0.00019,0.00003,0.00079,0.00008,0.00221,0.00300,0.00347,108 (-107),108 (-107)
codbt232,0.00053,0.00006,0.00127,0.00010,0.00411,0.00538,0.00640,108 (-107),108 (-107)
codbt241,0.00062,0.00007,0.00061,0.00025,0.01595,0.01655,0.01771,324 (-323),324 (-323)
