Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00331,0.00018,0.00098,0.00313,0.24359,0.24456,0.25189,1024 (-1023),1024 (-1023)
cod105,0.01223,0.00047,0.00165,0.00350,0.36935,0.37100,0.38918,1024 (-1023),1024 (-1023)
cod733,0.00661,0.00042,0.00113,0.00217,1.69032,1.69145,1.70188,2187 (-2186),2187 (-2186)
cod83,0.00066,0.00007,0.00143,0.00063,0.01122,0.01265,0.01434,256 (-255),256 (-255)
cod93,0.00130,0.00011,0.00120,0.00121,0.02784,0.02904,0.03202,512 (-511),512 (-511)
codbt111,0.00004,0.00002,0.00164,0.00004,0.00055,0.00219,0.00242,6 (-5),6 (-5)
codbt112,0.00003,0.00002,0.00135,0.00002,0.00043,0.00178,0.00191,6 (-5),6 (-5)
codbt113,0.00002,0.00003,0.00125,0.00002,0.00047,0.00172,0.00195,6 (-5),6 (-5)
codbt114,0.00003,0.00001,0.00140,0.00003,0.00048,0.00188,0.00210,6 (-5),6 (-5)
codbt121,0.00004,0.00002,0.00082,0.00004,0.00051,0.00133,0.00153,18 (-17),18 (-17)
codbt122,0.00004,0.00002,0.00077,0.00004,0.00049,0.00126,0.00143,18 (-17),18 (-17)
codbt123,0.00004,0.00002,0.00123,0.00005,0.00087,0.00209,0.00238,18 (-17),18 (-17)
codbt124,0.00003,0.00001,0.00112,0.00008,0.00113,0.00225,0.00256,18 (-17),18 (-17)
codbt131,0.00013,0.00002,0.00127,0.00014,0.00209,0.00336,0.00393,54 (-53),54 (-53)
codbt132,0.00020,0.00013,0.00133,0.00012,0.00201,0.00333,0.00407,54 (-53),54 (-53)
codbt133,0.00021,0.00003,0.00130,0.00013,0.00223,0.00353,0.00417,54 (-53),54 (-53)
codbt134,0.00011,0.00002,0.00053,0.00015,0.00141,0.00194,0.00237,54 (-53),54 (-53)
codbt141,0.00036,0.00005,0.00102,0.00032,0.00584,0.00686,0.00779,162 (-161),162 (-161)
codbt142,0.00084,0.00007,0.00112,0.00039,0.00690,0.00802,0.00958,162 (-161),162 (-161)
codbt143,0.00142,0.00008,0.00086,0.00047,0.00819,0.00905,0.01134,162 (-161),162 (-161)
codbt144,0.00185,0.00008,0.00094,0.00047,0.00998,0.01092,0.01363,162 (-161),162 (-161)
codbt151,0.00117,0.00010,0.00100,0.00115,0.03681,0.03781,0.04057,486 (-485),486 (-485)
codbt152,0.00472,0.00023,0.00118,0.00153,0.09633,0.09751,0.10490,486 (-485),486 (-485)
codbt153,0.01008,0.00038,0.00129,0.00267,0.12915,0.13044,0.14544,486 (-485),486 (-485)
codbt154,0.00935,0.00035,0.00088,0.00271,0.14643,0.14731,0.16129,486 (-485),486 (-485)
codbt161,0.00501,0.00033,0.00115,0.00186,1.00942,1.01058,1.01887,1458 (-1457),1458 (-1457)
codbt162,0.01921,0.00074,0.00202,0.00473,1.89258,1.89460,1.92276,1458 (-1457),1458 (-1457)
codbt163,0.04468,0.00087,0.00136,0.00816,3.19681,3.19817,3.25853,1458 (-1457),1458 (-1457)
codbt164,0.07926,0.00130,0.00186,0.01210,3.79602,3.79788,3.90302,1458 (-1457),1458 (-1457)
codbt171,0.01748,0.00091,0.00258,0.00691,28.32119,28.32377,28.35163,4374 (-4373),4374 (-4373)
codbt172,0.06771,0.00206,0.00120,0.01328,263.43435,263.43555,263.52745,4374 (-4373),4374 (-4373)
codbt173,0.23488,0.00517,0.00184,0.04102,95.48161,95.48344,95.79395,4374 (-4373),4374 (-4373)
codbt174,0.55622,0.01000,0.00104,0.09307,113.50251,113.50356,114.23800,4374 (-4373),4374 (-4373)
codbt211,0.00010,0.00003,0.00151,0.00003,0.00061,0.00213,0.00246,12 (-11),12 (-11)
codbt212,0.00005,0.00003,0.00138,0.00004,0.00108,0.00246,0.00279,12 (-11),12 (-11)
codbt221,0.00008,0.00002,0.00152,0.00008,0.00108,0.00260,0.00297,36 (-35),36 (-35)
codbt222,0.00012,0.00002,0.00145,0.00019,0.00147,0.00293,0.00344,36 (-35),36 (-35)
codbt231,0.00024,0.00003,0.00089,0.00026,0.00291,0.00380,0.00457,108 (-107),108 (-107)
codbt232,0.00049,0.00004,0.00121,0.00028,0.00350,0.00470,0.00573,108 (-107),108 (-107)
codbt241,0.00085,0.00009,0.00100,0.00050,0.01552,0.01653,0.01818,324 (-323),324 (-323)
codbt242,0.00234,0.00013,0.00084,0.00160,0.02965,0.03050,0.03519,324 (-323),324 (-323)
codbt251,0.00285,0.00016,0.00146,0.00174,0.19594,0.19741,0.20276,972 (-971),972 (-971)
codbt252,0.01061,0.00041,0.00181,0.00337,0.60225,0.60406,0.62007,972 (-971),972 (-971)
codbt261,0.01070,0.00054,0.00095,0.00468,6.33355,6.33450,6.35273,2916 (-2915),2916 (-2915)
codbt262,0.06150,0.00278,0.00159,0.01239,45.04757,45.04916,45.13447,2916 (-2915),2916 (-2915)
codbt341,0.00212,0.00017,0.00107,0.00187,0.06967,0.07074,0.07547,648 (-647),648 (-647)
codbt342,0.00723,0.00018,0.00131,0.00200,0.20141,0.20272,0.21302,648 (-647),648 (-647)
codbt451,0.01315,0.00095,0.00102,0.00551,24.66638,24.66740,24.68920,3888 (-3887),3888 (-3887)
codbt452,0.05697,0.00162,0.00091,0.01410,40.11383,40.11473,40.19530,3888 (-3887),3888 (-3887)
codbt453,0.17782,0.00420,0.00133,0.02927,51.74038,51.74171,51.97819,3888 (-3887),3888 (-3887)
codbt511,0.00028,0.00006,0.00150,0.00036,0.00391,0.00540,0.00636,96 (-95),96 (-95)
codbt512,0.00045,0.00005,0.00142,0.00043,0.00373,0.00514,0.00633,96 (-95),96 (-95)
codbt521,0.00073,0.00007,0.00097,0.00143,0.01445,0.01542,0.01829,288 (-287),288 (-287)
codbt522,0.00176,0.00009,0.00089,0.00107,0.02752,0.02841,0.03177,288 (-287),288 (-287)
codbt531,0.00243,0.00016,0.00120,0.00172,0.14908,0.15028,0.15508,864 (-863),864 (-863)
codbt532,0.00900,0.00035,0.00090,0.00289,0.43117,0.43208,0.44590,864 (-863),864 (-863)
codbt711,0.00097,0.00009,0.00097,0.00144,0.02466,0.02563,0.02863,384 (-383),384 (-383)
codbt712,0.00298,0.00038,0.00125,0.00192,0.03078,0.03204,0.03792,384 (-383),384 (-383)
codbt721,0.00349,0.00021,0.00132,0.00268,0.39184,0.39316,0.40032,1152 (-1151),1152 (-1151)
codbt722,0.01460,0.00059,0.00117,0.00584,1.15035,1.15152,1.17523,1152 (-1151),1152 (-1151)
codbt731,0.01407,0.00088,0.00145,0.00689,11.62565,11.62710,11.65200,3456 (-3455),3456 (-3455)
codbt732,0.05029,0.00124,0.00106,0.01312,23.51818,23.51923,23.59144,3456 (-3455),3456 (-3455)
codbt811,0.00289,0.00018,0.00114,0.00286,0.08461,0.08575,0.09264,768 (-767),768 (-767)
codbt812,0.00793,0.00025,0.00103,0.00354,0.24244,0.24347,0.25647,768 (-767),768 (-767)
codbt821,0.00888,0.00042,0.00137,0.00516,3.56973,3.57110,3.58721,2304 (-2303),2304 (-2303)
codbt822,0.03256,0.00070,0.00120,0.00998,6.60916,6.61035,6.65794,2304 (-2303),2304 (-2303)
codbt831,0.02691,0.00147,0.00207,0.01368,110.10718,110.10925,110.15524,6912 (-6911),6912 (-6911)
codbt832,0.10990,0.00338,0.00103,0.03270,262.86347,262.86450,263.02473,6912 (-6911),6912 (-6911)
cov1052,0.00065,0.00006,0.00073,0.00072,0.00494,0.00567,0.00742,252 (-251),45 (-44)
cov1053,0.00056,0.00006,0.00079,0.00056,0.00663,0.00742,0.00882,252 (-251),120 (-119)
cov1054,0.00052,0.00008,0.00158,0.00055,0.00941,0.01100,0.01253,252 (-251),210 (-209)
cov1063,0.00067,0.00008,0.00081,0.00048,0.00943,0.01024,0.01176,210 (-209),120 (-119)
cov1064,0.00091,0.00009,0.00141,0.00066,0.00846,0.00987,0.01202,210 (-209),210 (-209)
cov1065,0.00039,0.00008,0.00133,0.00043,0.00647,0.00780,0.00891,210 (-209),252 (-251)
cov1074,0.00081,0.00007,0.00116,0.00044,0.00589,0.00705,0.00870,120 (-119),210 (-209)
cov1075,0.00065,0.00006,0.00092,0.00080,0.00539,0.00631,0.00812,120 (-119),252 (-251)
cov1076,0.00036,0.00005,0.00211,0.00047,0.00406,0.00617,0.00723,120 (-119),210 (-209)
cov1163,0.00208,0.00012,0.00150,0.00111,0.01668,0.01818,0.02200,462 (-461),165 (-164)
cov1164,0.00170,0.00010,0.00083,0.00087,0.03231,0.03314,0.03621,462 (-461),330 (-329)
cov1165,0.00081,0.00010,0.00093,0.00114,0.02128,0.02221,0.02457,462 (-461),462 (-461)
cov1174,0.00263,0.00011,0.00111,0.00158,0.02488,0.02599,0.03104,330 (-329),330 (-329)
cov1175,0.00146,0.00012,0.00146,0.00089,0.01718,0.01864,0.02150,330 (-329),462 (-461)
cov1176,0.00090,0.00010,0.00160,0.00071,0.01158,0.01319,0.01547,330 (-329),462 (-461)
cov1185,0.00246,0.00009,0.00138,0.00148,0.01067,0.01205,0.01666,165 (-164),462 (-461)
cov1186,0.00117,0.00011,0.00119,0.00120,0.00643,0.00763,0.01049,165 (-164),462 (-461)
cov1187,0.00045,0.00006,0.00108,0.00101,0.00439,0.00547,0.00732,165 (-164),330 (-329)
cov1274,0.00810,0.00025,0.00103,0.00373,0.12628,0.12731,0.14084,792 (-791),495 (-494)
cov1275,0.00388,0.00019,0.00111,0.00213,0.22522,0.22634,0.23337,792 (-791),792 (-791)
cov1276,0.00213,0.00018,0.00133,0.00214,0.05785,0.05918,0.06430,792 (-791),924 (-923)
cov1285,0.00674,0.00021,0.00188,0.00272,0.06980,0.07168,0.08235,495 (-494),792 (-791)
cov1286,0.00296,0.00018,0.00091,0.00248,0.03908,0.03999,0.04632,495 (-494),924 (-923)
cov1287,0.00167,0.00013,0.00161,0.00224,0.01877,0.02038,0.02491,495 (-494),792 (-791)
cov1296,0.00386,0.00016,0.00145,0.00286,0.01757,0.01902,0.02670,220 (-219),924 (-923)
cov1297,0.00180,0.00031,0.00144,0.00196,0.01121,0.01264,0.01747,220 (-219),792 (-791)
cov1298,0.00087,0.00009,0.00155,0.00102,0.00559,0.00715,0.00953,220 (-219),495 (-494)
cov13107,0.00875,0.00036,0.00144,0.00417,0.03180,0.03324,0.04806,286 (-285),1716 (-1715)
cov13108,0.00409,0.00016,0.00198,0.00405,0.01981,0.02178,0.03090,286 (-285),1287 (-1286)
