Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cov14118,0.01037,0.00058,0.00133,0.00421,0.04418,0.04552,0.06281,364 (-363),3003 (-3002)
cov14119,0.00465,0.00026,0.00095,0.00351,0.02143,0.02238,0.03187,364 (-363),2002 (-2001)
cov1496,0.02767,0.00083,0.00074,0.00973,3.79348,3.79422,3.83681,2002 (-2001),3003 (-3002)
cov1497,0.01753,0.00086,0.00102,0.00889,1.32616,1.32718,1.35746,2002 (-2001),3432 (-3431)
cov1498,0.00593,0.00062,0.00148,0.00577,0.37685,0.37832,0.39255,2002 (-2001),3003 (-3002)
cov15107,0.05642,0.00299,0.00105,0.01294,17.63626,17.63731,17.71754,3003 (-3002),6435 (-6434)
cov15108,0.02505,0.00088,0.00080,0.01316,6.18352,6.18432,6.22805,3003 (-3002),6435 (-6434)
cov15109,0.00730,0.00064,0.00120,0.00710,0.80972,0.81092,0.82763,3003 (-3002),5005 (-5004)
cov151110,0.00348,0.00034,0.00097,0.00431,0.05563,0.05660,0.06570,1365 (-1364),3003 (-3002)
cov15118,0.03663,0.00125,0.00085,0.01279,1.04132,1.04216,1.09814,1365 (-1364),6435 (-6434)
cov15119,0.01431,0.00076,0.00142,0.00881,0.48646,0.48788,0.51460,1365 (-1364),5005 (-5004)
cov151210,0.00633,0.00043,0.00098,0.00442,0.03400,0.03499,0.04772,455 (-454),3003 (-3002)
cov151211,0.00160,0.00013,0.00108,0.00253,0.01054,0.01162,0.01642,455 (-454),1365 (-1364)
cov15129,0.01831,0.00075,0.00068,0.00867,0.08527,0.08595,0.11709,455 (-454),5005 (-5004)
cov161110,0.01180,0.00098,0.00162,0.01371,1.78111,1.78273,1.81180,4368 (-4367),8008 (-8007)
cov16118,0.11372,0.00309,0.00096,0.03206,32.25736,32.25831,32.42398,4368 (-4367),12870 (-12869)
cov16119,0.04573,0.00170,0.00071,0.01957,14.47007,14.47078,14.54463,4368 (-4367),11440 (-11439)
