Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cov16129,0.07942,0.00199,0.00080,0.03330,3.29558,3.29638,3.42344,1820 (-1819),11440 (-11439)
cov161310,0.03791,0.00115,0.00089,0.01834,0.15162,0.15251,0.21721,560 (-559),8008 (-8007)
cov161311,0.01199,0.00046,0.00040,0.00847,0.05726,0.05766,0.08061,560 (-559),4368 (-4367)
cov161312,0.00311,0.00025,0.00073,0.00467,0.01762,0.01834,0.02701,560 (-559),1820 (-1819)
cov171210,0.08505,0.00264,0.00065,0.04174,47.92481,47.92546,48.06675,6188 (-6187),19448 (-19447)
cov171211,0.03183,0.00169,0.00066,0.02402,4.27274,4.27340,4.33683,6188 (-6187),12376 (-12375)
cov17129,0.28487,0.00951,0.00070,0.06837,292.54151,292.54221,292.94715,6188 (-6187),24310 (-24309)
cov171310,0.12629,0.00341,0.00068,0.04897,8.22570,8.22638,8.42228,2380 (-2379),19448 (-19447)
cov171311,0.04207,0.00196,0.00062,0.02584,2.52561,2.52622,2.60449,2380 (-2379),12376 (-12375)
cov171312,0.01374,0.00107,0.00056,0.01720,0.39318,0.39373,0.42920,2380 (-2379),6188 (-6187)
cov171411,0.06154,0.00238,0.00116,0.03271,0.34003,0.34119,0.45210,680 (-679),12376 (-12375)
cov171412,0.02122,0.00101,0.00098,0.01692,0.10615,0.10713,0.15072,680 (-679),6188 (-6187)
cov171413,0.00417,0.00025,0.00059,0.00949,0.03380,0.03439,0.05010,680 (-679),2380 (-2379)
sts243,0.00376,0.00083,0.00076,0.00550,0.02624,0.02699,0.03911,243 (-242),9801 (-9800)
sts45,0.00024,0.00006,0.00058,0.00024,0.00204,0.00262,0.00346,45 (-44),330 (-329)
sts63,0.00033,0.00007,0.00068,0.00065,0.00293,0.00361,0.00499,63 (-62),651 (-650)
sts729,0.03622,0.00495,0.00130,0.04590,0.37134,0.37264,0.47689,729 (-728),88452 (-88451)
sts81,0.00080,0.00021,0.00087,0.00066,0.00282,0.00369,0.00591,81 (-80),1080 (-1079)
