Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00211,0.00019,0.00098,0.00083,0.30713,0.30810,0.31177,1024 (-1023),1024 (-1023)
cod105,0.00840,0.00043,0.00080,0.00147,0.32663,0.32743,0.33913,1024 (-1023),1024 (-1023)
cod733,0.00583,0.00042,0.00103,0.00224,1.32071,1.32173,1.33138,2187 (-2186),2187 (-2186)
cod83,0.00050,0.00008,0.00070,0.00014,0.00974,0.01045,0.01143,256 (-255),256 (-255)
cod93,0.00097,0.00008,0.00066,0.00032,0.03465,0.03532,0.03692,512 (-511),512 (-511)
codbt111,0.00004,0.00002,0.00125,0.00004,0.00036,0.00162,0.00188,6 (-5),6 (-5)
codbt112,0.00003,0.00001,0.00091,0.00002,0.00038,0.00129,0.00150,6 (-5),6 (-5)
codbt113,0.00003,0.00001,0.00066,0.00002,0.00026,0.00092,0.00108,6 (-5),6 (-5)
codbt114,0.00004,0.00002,0.00078,0.00002,0.00022,0.00100,0.00113,6 (-5),6 (-5)
codbt121,0.00004,0.00002,0.00061,0.00002,0.00033,0.00094,0.00109,18 (-17),18 (-17)
codbt122,0.00004,0.00002,0.00073,0.00002,0.00036,0.00109,0.00126,18 (-17),18 (-17)
codbt123,0.00004,0.00002,0.00076,0.00002,0.00035,0.00112,0.00132,18 (-17),18 (-17)
codbt124,0.00002,0.00001,0.00077,0.00002,0.00022,0.00099,0.00115,18 (-17),18 (-17)
codbt131,0.00011,0.00002,0.00104,0.00005,0.00105,0.00209,0.00244,54 (-53),54 (-53)
codbt132,0.00017,0.00004,0.00097,0.00005,0.00138,0.00235,0.00275,54 (-53),54 (-53)
codbt133,0.00015,0.00003,0.00070,0.00006,0.00123,0.00193,0.00233,54 (-53),54 (-53)
codbt134,0.00019,0.00002,0.00102,0.00005,0.00094,0.00197,0.00239,54 (-53),54 (-53)
codbt141,0.00028,0.00004,0.00091,0.00012,0.00329,0.00420,0.00486,162 (-161),162 (-161)
codbt142,0.00077,0.00005,0.00137,0.00017,0.00736,0.00873,0.00992,162 (-161),162 (-161)
codbt143,0.00144,0.00012,0.00096,0.00019,0.00998,0.01094,0.01314,162 (-161),162 (-161)
codbt144,0.00119,0.00008,0.00104,0.00020,0.00928,0.01032,0.01211,162 (-161),162 (-161)
codbt151,0.00126,0.00010,0.00102,0.00039,0.04314,0.04416,0.04622,486 (-485),486 (-485)
codbt152,0.00427,0.00021,0.00106,0.00059,0.08064,0.08170,0.08749,486 (-485),486 (-485)
codbt153,0.00826,0.00039,0.00097,0.00155,0.17053,0.17150,0.18299,486 (-485),486 (-485)
codbt154,0.01015,0.00045,0.00121,0.00091,0.21844,0.21965,0.23274,486 (-485),486 (-485)
codbt161,0.00445,0.00032,0.00115,0.00143,0.77576,0.77691,0.78433,1458 (-1457),1458 (-1457)
codbt162,0.01534,0.00079,0.00073,0.00224,2.12831,2.12904,2.14968,1458 (-1457),1458 (-1457)
codbt163,0.04028,0.00115,0.00074,0.00596,2.83814,2.83888,2.89217,1458 (-1457),1458 (-1457)
codbt164,0.06747,0.00169,0.00065,0.00979,3.61343,3.61409,3.70178,1458 (-1457),1458 (-1457)
codbt171,0.01372,0.00075,0.00079,0.00617,28.85873,28.85952,28.88249,4374 (-4373),4374 (-4373)
codbt172,0.06040,0.00187,0.00065,0.01129,206.52708,206.52773,206.60850,4374 (-4373),4374 (-4373)
codbt173,0.19914,0.00466,0.00073,0.02965,76.57892,76.57965,76.84113,4374 (-4373),4374 (-4373)
codbt174,0.50437,0.01475,0.00074,0.06995,96.92785,96.92858,97.58236,4374 (-4373),4374 (-4373)
codbt211,0.00005,0.00002,0.00058,0.00002,0.00029,0.00087,0.00101,12 (-11),12 (-11)
codbt212,0.00003,0.00001,0.00066,0.00002,0.00026,0.00092,0.00106,12 (-11),12 (-11)
codbt221,0.00007,0.00002,0.00069,0.00003,0.00047,0.00115,0.00138,36 (-35),36 (-35)
codbt222,0.00009,0.00002,0.00074,0.00004,0.00078,0.00152,0.00184,36 (-35),36 (-35)
codbt231,0.00017,0.00003,0.00075,0.00008,0.00218,0.00293,0.00339,108 (-107),108 (-107)
codbt232,0.00043,0.00004,0.00082,0.00011,0.00507,0.00589,0.00666,108 (-107),108 (-107)
codbt241,0.00060,0.00007,0.00067,0.00022,0.01663,0.01730,0.01837,324 (-323),324 (-323)
codbt242,0.00230,0.00012,0.00089,0.00038,0.02782,0.02871,0.03191,324 (-323),324 (-323)
codbt251,0.00227,0.00015,0.00120,0.00082,0.16411,0.16531,0.16901,972 (-971),972 (-971)
codbt252,0.00948,0.00057,0.00121,0.00129,0.63122,0.63243,0.64528,972 (-971),972 (-971)
codbt261,0.00955,0.00057,0.00066,0.00438,5.00360,5.00426,5.02034,2916 (-2915),2916 (-2915)
codbt262,0.03915,0.00121,0.00088,0.01035,29.77505,29.77593,29.83201,2916 (-2915),2916 (-2915)
codbt341,0.00166,0.00012,0.00096,0.00067,0.05576,0.05672,0.05955,648 (-647),648 (-647)
codbt342,0.00466,0.00020,0.00104,0.00098,0.14680,0.14784,0.15449,648 (-647),648 (-647)
codbt451,0.01111,0.00071,0.00145,0.00469,32.75108,32.75254,32.77089,3888 (-3887),3888 (-3887)
codbt452,0.04824,0.00107,0.00082,0.00991,94.94908,94.94990,95.01583,3888 (-3887),3888 (-3887)
codbt453,0.15293,0.00395,0.00074,0.02538,45.70800,45.70874,45.91075,3888 (-3887),3888 (-3887)
codbt511,0.00014,0.00003,0.00080,0.00007,0.00231,0.00311,0.00384,96 (-95),96 (-95)
codbt512,0.00073,0.00014,0.00115,0.00012,0.00274,0.00389,0.00509,96 (-95),96 (-95)
codbt521,0.00052,0.00006,0.00082,0.00017,0.01283,0.01366,0.01462,288 (-287),288 (-287)
codbt522,0.00191,0.00030,0.00119,0.00030,0.02434,0.02553,0.02840,288 (-287),288 (-287)
codbt531,0.00225,0.00016,0.00087,0.00063,0.20405,0.20492,0.20846,864 (-863),864 (-863)
codbt532,0.00833,0.00033,0.00098,0.00121,0.33578,0.33676,0.34786,864 (-863),864 (-863)
codbt711,0.00067,0.00008,0.00058,0.00029,0.02737,0.02795,0.02930,384 (-383),384 (-383)
codbt712,0.00243,0.00012,0.00076,0.00043,0.03481,0.03557,0.03894,384 (-383),384 (-383)
codbt721,0.00256,0.00021,0.00104,0.00156,0.28966,0.29070,0.29562,1152 (-1151),1152 (-1151)
codbt722,0.01050,0.00058,0.00180,0.00203,0.65142,0.65322,0.66805,1152 (-1151),1152 (-1151)
codbt731,0.01235,0.00074,0.00128,0.00575,11.96864,11.96992,11.99071,3456 (-3455),3456 (-3455)
codbt732,0.03939,0.00107,0.00070,0.00826,19.32369,19.32438,19.37821,3456 (-3455),3456 (-3455)
codbt811,0.00162,0.00015,0.00085,0.00066,0.07516,0.07600,0.07880,768 (-767),768 (-767)
codbt812,0.00490,0.00021,0.00116,0.00109,0.21961,0.22077,0.22792,768 (-767),768 (-767)
codbt821,0.00663,0.00052,0.00125,0.00333,3.40460,3.40585,3.41747,2304 (-2303),2304 (-2303)
codbt822,0.02215,0.00078,0.00063,0.00458,6.81287,6.81349,6.84384,2304 (-2303),2304 (-2303)
codbt831,0.02134,0.00138,0.00171,0.01046,122.72063,122.72234,122.75886,6912 (-6911),6912 (-6911)
codbt832,0.09143,0.00253,0.00063,0.01949,266.71722,266.71785,266.84410,6912 (-6911),6912 (-6911)
cov1052,0.00048,0.00005,0.00102,0.00015,0.00542,0.00644,0.00734,252 (-251),45 (-44)
cov1053,0.00053,0.00005,0.00157,0.00015,0.00657,0.00814,0.00904,252 (-251),120 (-119)
cov1054,0.00029,0.00007,0.00064,0.00013,0.00523,0.00587,0.00652,252 (-251),210 (-209)
cov1063,0.00058,0.00004,0.00112,0.00017,0.00835,0.00947,0.01042,210 (-209),120 (-119)
cov1064,0.00048,0.00005,0.00069,0.00013,0.00803,0.00873,0.00953,210 (-209),210 (-209)
cov1065,0.00024,0.00005,0.00058,0.00011,0.00506,0.00564,0.00616,210 (-209),252 (-251)
cov1074,0.00054,0.00005,0.00060,0.00015,0.00446,0.00506,0.00611,120 (-119),210 (-209)
cov1075,0.00051,0.00005,0.00080,0.00015,0.00413,0.00493,0.00584,120 (-119),252 (-251)
cov1076,0.00016,0.00004,0.00045,0.00009,0.00193,0.00238,0.00299,120 (-119),210 (-209)
cov1163,0.00159,0.00010,0.00118,0.00028,0.02411,0.02529,0.02782,462 (-461),165 (-164)
cov1164,0.00117,0.00011,0.00068,0.00034,0.02824,0.02892,0.03088,462 (-461),330 (-329)
cov1165,0.00051,0.00009,0.00059,0.00022,0.02075,0.02134,0.02232,462 (-461),462 (-461)
cov1174,0.00192,0.00010,0.00086,0.00032,0.02350,0.02436,0.02709,330 (-329),330 (-329)
cov1175,0.00102,0.00009,0.00087,0.00027,0.02675,0.02762,0.02922,330 (-329),462 (-461)
cov1176,0.00057,0.00007,0.00089,0.00028,0.01066,0.01155,0.01263,330 (-329),462 (-461)
cov1185,0.00216,0.00006,0.00105,0.00034,0.00738,0.00843,0.01125,165 (-164),462 (-461)
cov1186,0.00071,0.00006,0.00090,0.00064,0.00607,0.00696,0.00871,165 (-164),462 (-461)
cov1187,0.00035,0.00007,0.00076,0.00015,0.00372,0.00448,0.00528,165 (-164),330 (-329)
cov1274,0.00543,0.00024,0.00182,0.00102,0.09532,0.09714,0.10472,792 (-791),495 (-494)
cov1275,0.00342,0.00068,0.00115,0.00092,0.11049,0.11165,0.11732,792 (-791),792 (-791)
cov1276,0.00121,0.00012,0.00072,0.00079,0.05032,0.05103,0.05349,792 (-791),924 (-923)
cov1285,0.00532,0.00024,0.00097,0.00081,0.11041,0.11138,0.11852,495 (-494),792 (-791)
cov1286,0.00219,0.00013,0.00086,0.00049,0.04870,0.04956,0.05283,495 (-494),924 (-923)
cov1287,0.00086,0.00011,0.00074,0.00037,0.01848,0.01922,0.02078,495 (-494),792 (-791)
