Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
cod103,0.00210,0.00016,0.00049,0.00149,0.19648,0.19697,0.20125,1024 (-1023),1024 (-1023)
cod105,0.00838,0.00040,0.00099,0.00180,0.24657,0.24755,0.25935,1024 (-1023),1024 (-1023)
cod733,0.00613,0.00043,0.00096,0.00183,1.30467,1.30563,1.31511,2187 (-2186),2187 (-2186)
cod83,0.00043,0.00005,0.00074,0.00017,0.00977,0.01051,0.01132,256 (-255),256 (-255)
cod93,0.00118,0.00012,0.00091,0.00048,0.02704,0.02795,0.03004,512 (-511),512 (-511)
codbt111,0.00005,0.00002,0.00072,0.00002,0.00023,0.00095,0.00113,6 (-5),6 (-5)
codbt112,0.00004,0.00001,0.00094,0.00002,0.00076,0.00170,0.00193,6 (-5),6 (-5)
codbt113,0.00002,0.00002,0.00089,0.00002,0.00031,0.00119,0.00139,6 (-5),6 (-5)
codbt114,0.00002,0.00001,0.00070,0.00002,0.00025,0.00095,0.00109,6 (-5),6 (-5)
codbt121,0.00003,0.00002,0.00057,0.00002,0.00039,0.00096,0.00114,18 (-17),18 (-17)
codbt122,0.00004,0.00002,0.00067,0.00003,0.00041,0.00108,0.00131,18 (-17),18 (-17)
codbt123,0.00007,0.00002,0.00143,0.00003,0.00045,0.00188,0.00220,18 (-17),18 (-17)
codbt124,0.00004,0.00001,0.00092,0.00003,0.00036,0.00128,0.00151,18 (-17),18 (-17)
codbt131,0.00011,0.00002,0.00084,0.00004,0.00079,0.00163,0.00195,54 (-53),54 (-53)
codbt132,0.00017,0.00003,0.00114,0.00006,0.00138,0.00253,0.00298,54 (-53),54 (-53)
codbt133,0.00016,0.00003,0.00060,0.00005,0.00119,0.00179,0.00216,54 (-53),54 (-53)
codbt134,0.00013,0.00002,0.00078,0.00006,0.00138,0.00216,0.00254,54 (-53),54 (-53)
codbt141,0.00027,0.00005,0.00085,0.00010,0.00321,0.00406,0.00468,162 (-161),162 (-161)
codbt142,0.00133,0.00007,0.00089,0.00017,0.00800,0.00889,0.01070,162 (-161),162 (-161)
codbt143,0.00174,0.00005,0.00095,0.00020,0.01073,0.01168,0.01395,162 (-161),162 (-161)
codbt144,0.00098,0.00006,0.00068,0.00018,0.00938,0.01006,0.01152,162 (-161),162 (-161)
codbt151,0.00102,0.00009,0.00091,0.00050,0.04194,0.04285,0.04474,486 (-485),486 (-485)
codbt152,0.00369,0.00019,0.00097,0.00071,0.08444,0.08541,0.09064,486 (-485),486 (-485)
codbt153,0.00920,0.00039,0.00115,0.00118,0.15495,0.15610,0.16810,486 (-485),486 (-485)
codbt154,0.00939,0.00037,0.00103,0.00146,0.13628,0.13732,0.15012,486 (-485),486 (-485)
codbt161,0.00361,0.00026,0.00079,0.00130,0.77455,0.77534,0.78120,1458 (-1457),1458 (-1457)
codbt162,0.01758,0.00089,0.00068,0.00309,1.68422,1.68489,1.70877,1458 (-1457),1458 (-1457)
codbt163,0.03869,0.00117,0.00096,0.00648,2.81494,2.81590,2.86909,1458 (-1457),1458 (-1457)
codbt164,0.06840,0.00190,0.00071,0.00921,3.48013,3.48084,3.56977,1458 (-1457),1458 (-1457)
codbt171,0.01395,0.00080,0.00106,0.00678,23.90498,23.90604,23.93005,4374 (-4373),4374 (-4373)
codbt172,0.06320,0.00200,0.00055,0.01215,198.43788,198.43843,198.52410,4374 (-4373),4374 (-4373)
codbt173,0.19706,0.00457,0.00083,0.03135,91.35268,91.35351,91.61369,4374 (-4373),4374 (-4373)
codbt174,0.48908,0.00896,0.00108,0.06682,100.89014,100.89122,101.52139,4374 (-4373),4374 (-4373)
codbt211,0.00013,0.00008,0.00114,0.00003,0.00047,0.00161,0.00206,12 (-11),12 (-11)
codbt212,0.00003,0.00001,0.00058,0.00002,0.00025,0.00084,0.00097,12 (-11),12 (-11)
codbt221,0.00005,0.00002,0.00068,0.00003,0.00045,0.00113,0.00130,36 (-35),36 (-35)
codbt222,0.00008,0.00002,0.00060,0.00003,0.00055,0.00115,0.00142,36 (-35),36 (-35)
codbt231,0.00021,0.00005,0.00099,0.00008,0.00221,0.00321,0.00377,108 (-107),108 (-107)
codbt232,0.00044,0.00007,0.00068,0.00009,0.00500,0.00568,0.00649,108 (-107),108 (-107)
codbt241,0.00071,0.00008,0.00097,0.00026,0.01581,0.01677,0.01800,324 (-323),324 (-323)
codbt242,0.00262,0.00013,0.00114,0.00046,0.03479,0.03593,0.03961,324 (-323),324 (-323)
codbt251,0.00245,0.00019,0.00104,0.00127,0.18849,0.18952,0.19407,972 (-971),972 (-971)
codbt252,0.00913,0.00048,0.00076,0.00235,0.51944,0.52020,0.53403,972 (-971),972 (-971)
codbt261,0.00870,0.00052,0.00104,0.00417,6.22632,6.22736,6.24251,2916 (-2915),2916 (-2915)
codbt262,0.03946,0.00124,0.00073,0.01092,49.04881,49.04954,49.10746,2916 (-2915),2916 (-2915)
codbt341,0.00140,0.00013,0.00104,0.00052,0.05991,0.06095,0.06336,648 (-647),648 (-647)
codbt342,0.00446,0.00022,0.00096,0.00093,0.24488,0.24585,0.25221,648 (-647),648 (-647)
codbt451,0.01158,0.00073,0.00104,0.00486,33.34949,33.35053,33.36952,3888 (-3887),3888 (-3887)
codbt452,0.04893,0.00133,0.00072,0.01160,36.22560,36.22631,36.29428,3888 (-3887),3888 (-3887)
codbt453,0.15035,0.00385,0.00094,0.02421,46.65268,46.65363,46.85197,3888 (-3887),3888 (-3887)
codbt511,0.00021,0.00006,0.00103,0.00009,0.00166,0.00270,0.00323,96 (-95),96 (-95)
codbt512,0.00027,0.00003,0.00073,0.00007,0.00200,0.00273,0.00330,96 (-95),96 (-95)
codbt521,0.00067,0.00007,0.00074,0.00031,0.01070,0.01144,0.01275,288 (-287),288 (-287)
codbt522,0.00161,0.00010,0.00094,0.00030,0.02444,0.02538,0.02770,288 (-287),288 (-287)
codbt531,0.00180,0.00013,0.00096,0.00072,0.16765,0.16860,0.17161,864 (-863),864 (-863)
codbt532,0.00694,0.00031,0.00114,0.00164,0.35219,0.35333,0.36328,864 (-863),864 (-863)
codbt711,0.00063,0.00010,0.00068,0.00042,0.02423,0.02491,0.02631,384 (-383),384 (-383)
codbt712,0.00221,0.00012,0.00105,0.00056,0.03164,0.03269,0.03601,384 (-383),384 (-383)
codbt721,0.00305,0.00025,0.00100,0.00134,0.27348,0.27449,0.27975,1152 (-1151),1152 (-1151)
codbt722,0.01188,0.00067,0.00132,0.00336,1.07804,1.07936,1.09765,1152 (-1151),1152 (-1151)
codbt731,0.01049,0.00067,0.00121,0.00581,11.72420,11.72541,11.74409,3456 (-3455),3456 (-3455)
codbt732,0.03832,0.00105,0.00073,0.00873,20.09659,20.09732,20.15119,3456 (-3455),3456 (-3455)
codbt811,0.00191,0.00014,0.00086,0.00086,0.07441,0.07526,0.07856,768 (-767),768 (-767)
codbt812,0.00619,0.00026,0.00130,0.00125,0.24086,0.24216,0.25075,768 (-767),768 (-767)
codbt821,0.00601,0.00042,0.00086,0.00336,4.48872,4.48959,4.50050,2304 (-2303),2304 (-2303)
codbt822,0.02133,0.00078,0.00056,0.00506,5.05545,5.05600,5.08611,2304 (-2303),2304 (-2303)
codbt831,0.02327,0.00112,0.00120,0.01235,107.18231,107.18352,107.22475,6912 (-6911),6912 (-6911)
codbt832,0.09237,0.00225,0.00057,0.02120,294.20719,294.20776,294.33536,6912 (-6911),6912 (-6911)
cov1052,0.00035,0.00005,0.00051,0.00011,0.00500,0.00551,0.00621,252 (-251),45 (-44)
cov1053,0.00039,0.00007,0.00065,0.00012,0.00726,0.00790,0.00861,252 (-251),120 (-119)
cov1054,0.00041,0.00006,0.00063,0.00021,0.00576,0.00639,0.00721,252 (-251),210 (-209)
cov1063,0.00057,0.00004,0.00080,0.00014,0.00849,0.00929,0.01020,210 (-209),120 (-119)
cov1064,0.00051,0.00006,0.00106,0.00015,0.00789,0.00895,0.00982,210 (-209),210 (-209)
cov1065,0.00027,0.00005,0.00059,0.00014,0.00571,0.00630,0.00697,210 (-209),252 (-251)
cov1074,0.00073,0.00005,0.00077,0.00016,0.00520,0.00598,0.00718,120 (-119),210 (-209)
cov1075,0.00052,0.00005,0.00077,0.00015,0.00352,0.00429,0.00523,120 (-119),252 (-251)
cov1076,0.00017,0.00004,0.00076,0.00009,0.00163,0.00239,0.00288,120 (-119),210 (-209)
cov1163,0.00193,0.00009,0.00085,0.00056,0.01542,0.01627,0.01920,462 (-461),165 (-164)
cov1164,0.00098,0.00009,0.00085,0.00038,0.02386,0.02472,0.02640,462 (-461),330 (-329)
cov1165,0.00080,0.00012,0.00096,0.00041,0.01828,0.01924,0.02084,462 (-461),462 (-461)
cov1174,0.00251,0.00009,0.00086,0.00051,0.02382,0.02467,0.02820,330 (-329),330 (-329)
cov1175,0.00181,0.00011,0.00069,0.00042,0.01648,0.01717,0.01981,330 (-329),462 (-461)
cov1176,0.00058,0.00010,0.00082,0.00029,0.01027,0.01109,0.01225,330 (-329),462 (-461)
cov1185,0.00125,0.00007,0.00114,0.00029,0.00824,0.00938,0.01127,165 (-164),462 (-461)
cov1186,0.00096,0.00008,0.00099,0.00024,0.00685,0.00785,0.00939,165 (-164),462 (-461)
cov1187,0.00049,0.00009,0.00109,0.00019,0.00337,0.00445,0.00555,165 (-164),330 (-329)
cov1274,0.00512,0.00047,0.00112,0.00175,0.11812,0.11924,0.12763,792 (-791),495 (-494)
