Instance,Compute EP,Build ALP,Solve ALP,Build ELP,Orbital Crossover,Solve (Total),Highs Run,Original Columns (Reductions),Original Rows (Reductions)
codbt811,0.00153,0.00012,0.00039,0.00041,0.11620,0.11659,0.11900,768 (-767),768 (-767)
codbt812,0.00470,0.00023,0.00041,0.00064,0.23747,0.23788,0.24422,768 (-767),768 (-767)
codbt821,0.00532,0.00034,0.00039,0.00200,3.61267,3.61307,3.62174,2304 (-2303),2304 (-2303)
codbt822,0.02065,0.00062,0.00032,0.00365,5.03666,5.03698,5.06486,2304 (-2303),2304 (-2303)
codbt831,0.01980,0.00102,0.00038,0.00920,93.16763,93.16801,93.20111,6912 (-6911),6912 (-6911)
codbt832,0.09204,0.00209,0.00038,0.01751,203.14204,203.14242,203.26449,6912 (-6911),6912 (-6911)
cov1052,0.00032,0.00004,0.00031,0.00010,0.00393,0.00424,0.00490,252 (-251),45 (-44)
cov1053,0.00037,0.00005,0.00028,0.00011,0.00599,0.00626,0.00695,252 (-251),120 (-119)
cov1054,0.00032,0.00008,0.00032,0.00015,0.00526,0.00558,0.00626,252 (-251),210 (-209)
cov1063,0.00054,0.00005,0.00032,0.00012,0.00671,0.00704,0.00789,210 (-209),120 (-119)
cov1064,0.00043,0.00005,0.00027,0.00012,0.00630,0.00657,0.00733,210 (-209),210 (-209)
cov1065,0.00025,0.00004,0.00032,0.00014,0.00405,0.00438,0.00500,210 (-209),252 (-251)
cov1074,0.00054,0.00005,0.00028,0.00012,0.00353,0.00381,0.00476,120 (-119),210 (-209)
cov1075,0.00042,0.00004,0.00027,0.00014,0.00334,0.00362,0.00440,120 (-119),252 (-251)
cov1076,0.00023,0.00005,0.00038,0.00008,0.00153,0.00191,0.00245,120 (-119),210 (-209)
cov1163,0.00119,0.00008,0.00030,0.00023,0.02329,0.02358,0.02537,462 (-461),165 (-164)
cov1164,0.00099,0.00009,0.00028,0.00027,0.02479,0.02507,0.02666,462 (-461),330 (-329)
cov1165,0.00067,0.00008,0.00035,0.00024,0.01881,0.01916,0.02032,462 (-461),462 (-461)
cov1174,0.00146,0.00010,0.00028,0.00025,0.02229,0.02257,0.02469,330 (-329),330 (-329)
cov1175,0.00091,0.00008,0.00032,0.00023,0.02423,0.02455,0.02600,330 (-329),462 (-461)
cov1176,0.00049,0.00007,0.00038,0.00025,0.00825,0.00863,0.00960,330 (-329),462 (-461)
cov1185,0.00120,0.00007,0.00030,0.00022,0.00674,0.00705,0.00879,165 (-164),462 (-461)
cov1186,0.00073,0.00010,0.00029,0.00017,0.00460,0.00489,0.00616,165 (-164),462 (-461)
cov1187,0.00033,0.00005,0.00030,0.00014,0.00264,0.00294,0.00368,165 (-164),330 (-329)
cov1274,0.00356,0.00020,0.00041,0.00054,0.16799,0.16840,0.17333,792 (-791),495 (-494)
cov1275,0.00242,0.00014,0.00034,0.00051,0.12182,0.12217,0.12573,792 (-791),792 (-791)
cov1276,0.00116,0.00013,0.00033,0.00042,0.05665,0.05698,0.05901,792 (-791),924 (-923)
cov1285,0.00445,0.00020,0.00041,0.00063,0.11377,0.11418,0.12016,495 (-494),792 (-791)
cov1286,0.00201,0.00013,0.00037,0.00041,0.04785,0.04822,0.05118,495 (-494),924 (-923)
cov1287,0.00082,0.00009,0.00029,0.00031,0.01623,0.01652,0.01795,495 (-494),792 (-791)
cov1296,0.00299,0.00015,0.00035,0.00047,0.01258,0.01293,0.01707,220 (-219),924 (-923)
cov1297,0.00120,0.00008,0.00031,0.00037,0.00822,0.00853,0.01043,220 (-219),792 (-791)
cov1298,0.00039,0.00005,0.00029,0.00017,0.00342,0.00371,0.00453,220 (-219),495 (-494)
cov13107,0.00445,0.00021,0.00033,0.00073,0.02561,0.02594,0.03216,286 (-285),1716 (-1715)
cov13108,0.00241,0.00013,0.00037,0.00053,0.01716,0.01754,0.02097,286 (-285),1287 (-1286)
cov13109,0.00056,0.00007,0.00031,0.00024,0.00501,0.00532,0.00636,286 (-285),715 (-714)
cov1385,0.00889,0.00034,0.00040,0.00115,0.69093,0.69133,0.70315,1287 (-1286),1287 (-1286)
cov1386,0.00522,0.00027,0.00035,0.00085,0.56545,0.56581,0.57297,1287 (-1286),1716 (-1715)
cov1387,0.00250,0.00021,0.00036,0.00085,0.38181,0.38216,0.38634,1287 (-1286),1716 (-1715)
cov1396,0.00799,0.00036,0.00041,0.00112,0.29402,0.29443,0.30520,715 (-714),1716 (-1715)
cov1397,0.00601,0.00037,0.00043,0.00111,0.22966,0.23009,0.23857,715 (-714),1716 (-1715)
cov1398,0.00172,0.00015,0.00042,0.00064,0.04409,0.04450,0.04744,715 (-714),1287 (-1286)
cov14107,0.02124,0.00103,0.00054,0.00253,0.49515,0.49568,0.52344,1001 (-1000),3432 (-3431)
cov14108,0.00670,0.00033,0.00045,0.00118,0.35087,0.35131,0.36065,1001 (-1000),3003 (-3002)
cov14109,0.00229,0.00021,0.00044,0.00084,0.05855,0.05899,0.06286,1001 (-1000),2002 (-2001)
cov141110,0.00074,0.00010,0.00030,0.00034,0.00698,0.00727,0.00865,364 (-363),1001 (-1000)
cov14118,0.00824,0.00044,0.00038,0.00106,0.05507,0.05545,0.06649,364 (-363),3003 (-3002)
cov14119,0.00353,0.00022,0.00049,0.00071,0.03625,0.03675,0.04193,364 (-363),2002 (-2001)
cov1496,0.02941,0.00076,0.00055,0.00448,3.69329,3.69383,3.73242,2002 (-2001),3003 (-3002)
cov1497,0.01360,0.00057,0.00054,0.00271,2.14354,2.14407,2.16302,2002 (-2001),3432 (-3431)
cov1498,0.00357,0.00028,0.00038,0.00182,0.29561,0.29600,0.30239,2002 (-2001),3003 (-3002)
cov15107,0.04707,0.00113,0.00035,0.00728,18.03800,18.03835,18.09951,3003 (-3002),6435 (-6434)
cov15108,0.02230,0.00071,0.00031,0.00626,9.62511,9.62542,9.65779,3003 (-3002),6435 (-6434)
cov15109,0.00638,0.00047,0.00042,0.00398,0.81584,0.81626,0.82845,3003 (-3002),5005 (-5004)
cov151110,0.00360,0.00030,0.00035,0.00191,0.04262,0.04296,0.04954,1365 (-1364),3003 (-3002)
cov15118,0.03122,0.00109,0.00036,0.00555,1.25553,1.25589,1.29805,1365 (-1364),6435 (-6434)
cov15119,0.01065,0.00045,0.00034,0.00319,0.54944,0.54978,0.56584,1365 (-1364),5005 (-5004)
cov151210,0.00604,0.00086,0.00046,0.00108,0.05163,0.05209,0.06115,455 (-454),3003 (-3002)
cov151211,0.00128,0.00013,0.00040,0.00043,0.01129,0.01169,0.01389,455 (-454),1365 (-1364)
cov15129,0.01327,0.00055,0.00039,0.00206,0.09079,0.09118,0.10911,455 (-454),5005 (-5004)
